code,name,description,secuencia,tipoLocalizacion,centroLogistico,ubicacionArea,paisOrigen
WH0192,AUXILIARES TEXTILES S A,,192,Almacén,,,
WH0205,B S G CARGO SA,,205,Almacén,,AEROPUERTO INTERNACIONAL JOSE FRANCISCO PEÑA GOMEZ,DO
WH0207,B Y R C POR A,,207,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0204,B LEATHER MANUFACTURING,,204,Almacén,,"PARQUE INDUSTRIAL Y DE SERVICIOS YAQUE, S. A.",DO
WH0202,B & B PLASTIC S A,,202,Almacén,,ZONA FRANCA INDUSTRIAL DE VILLA ALTAGRACIA,DO
WH0209,B1 COMPANY SRL,,209,Almacén,,ZONA FRANCA INDUSTRIAL SAN PEDRO DE MACORÍS,DO
WH0201,AZODR SRL,,201,Almacén,,"Z.F. IND., SAN ISIDRO",DO
WH0203,B BRAUN DOMINICAN REPUBLIC INC,,203,Almacén,,ZONA FRANCA INDUSTRIAL DE LAS AMERICAS,DO
WH0208,B&K TRADING SRL,,208,Almacén,,"Z.F. IND., LA VEGA",DO
WH0210,BACK & FORTH LOGISTICS SRL,,210,Almacén,,GLOBAL ZONA FRANCA INDUSTRIAL,DO
WH0206,B Y P OVERSEAS INTERNATIONAL S A,,206,Almacén,,,
WH0214,BALDOSAS DE GRANITO C X A,,214,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0218,BANACARIBE S A S,,218,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0219,BANALASA SRL,,219,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0220,BANAMA S A,,220,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0213,BALANCE POINT INTERNATIONAL INC,,213,Almacén,,"Z.F. IND., SANTIAGO III",DO
WH0215,BALDWIN & EBENEZER DOMINICANA S A,,215,Almacén,,"Z.F. IND., SANTIAGO I",DO
WH0216,BALI DOMINICANA TEXTILES S A,,216,Almacén,,ZONA FRANCA INDUSTRIAL SAN PEDRO DE MACORÍS,DO
WH0211,BAINSA ZF SRL,,211,Almacén,,ZONA FRANCA INDUSTRIAL SAN PEDRO DE MACORÍS,DO
WH0212,BAIT MANUFACTURING S A,,212,Almacén,,ZONA FRANCA INDUSTRIAL LOS ALCARRIZOS,DO
WH0217,BAMA CIBAO SRL,,217,Almacén,,,
WH0226,BANSIN SRL,,226,Almacén,ZONA FRANCA MULTIMODAL CAUCEDO S A,ADMINISTRACION PUERTO MULTIMODAL CAUCEDO,DO
WH0227,BARCELO & COMPANIA C POR A,,227,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0228,"BARCELO EXPORT IMPORT, C POR A.",,228,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0221,BANAMEK INTERNATIONAL CORP,,221,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0222,BANANOSA S A,,222,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0223,BANANOSA S A,,223,Almacén,,DIRECCION GENERAL DE ADUANAS,DO
WH0224,BANIS BUSINESS INC,,224,Almacén,,PARQUE ZONAS FRANCAS INDUSTRIAL DE EXPORTACIONES BANIS BUSINESS INC,DO
WH0225,BANSIN SRL,,225,Almacén,,"Z.F. IND., BANSIN",DO
WH0229,BARCELO INTERNACIONAL,,229,Almacén,,ZONA FRANCA INDUSTRIAL SAN PEDRO DE MACORÍS,DO
WH0230,"BARCELO INTERNACIONAL S A, SPM",,230,Almacén,,,
